Fecha,Total_Litros_Diarios,Litros_Asignados_Renta,Pipas_Necesarias,Capacidad_Rentada_L,Validación_Renta_OK
2024-12-06,543538.0,0.0,0,0,True
2024-12-07,1172142.0,0.0,0,0,True
2024-12-08,1406881.0,0.0,0,0,True
2024-12-09,1626413.0,0.0,0,0,True
2024-12-10,1292974.0,0.0,0,0,True
2024-12-11,1383553.0,0.0,0,0,True
2024-12-12,1431225.0,0.0,0,0,True
2024-12-13,424944.0,0.0,0,0,True
2024-12-14,1693428.0,0.0,0,0,True
2024-12-15,2038302.0,118544.0,2,128000,True
2024-12-16,1286772.0,0.0,0,0,True
2024-12-17,932148.0,0.0,0,0,True
2024-12-18,779528.0,0.0,0,0,True
2024-12-19,730660.0,0.0,0,0,True
2024-12-20,595535.0,0.0,0,0,True
2024-12-21,1536354.0,0.0,0,0,True
2024-12-22,907250.0,0.0,0,0,True
2024-12-23,979526.0,0.0,0,0,True
2024-12-24,1163555.0,0.0,0,0,True
2024-12-25,1271330.0,0.0,0,0,True
2024-12-26,646132.0,0.0,0,0,True
2024-12-27,482324.0,0.0,0,0,True
2024-12-28,1422827.0,0.0,0,0,True
2024-12-29,822778.0,0.0,0,0,True
2024-12-31,1179446.0,0.0,0,0,True
2025-01-01,1414744.0,0.0,0,0,True
2025-01-02,984782.0,0.0,0,0,True
2025-01-03,362808.0,0.0,0,0,True
2025-01-04,1392721.0,0.0,0,0,True
2025-01-05,526555.0,0.0,0,0,True
2025-01-07,842301.0,0.0,0,0,True
2025-01-08,786094.0,0.0,0,0,True
2025-01-09,586157.0,0.0,0,0,True
2025-01-10,300657.0,0.0,0,0,True
2025-01-11,731525.0,0.0,0,0,True
2025-01-12,935907.0,0.0,0,0,True
2025-01-13,1769749.0,0.0,0,0,True
2025-01-14,1089971.0,0.0,0,0,True
2025-01-15,1073330.0,0.0,0,0,True
2025-01-16,782260.0,0.0,0,0,True
2025-01-17,229178.0,0.0,0,0,True
2025-01-18,1386996.0,0.0,0,0,True
2025-01-19,932279.0,0.0,0,0,True
2025-01-20,1494824.0,0.0,0,0,True
2025-01-21,1245891.0,0.0,0,0,True
2025-01-22,871819.0,0.0,0,0,True
2025-01-23,1663165.0,0.0,0,0,True
2025-01-24,340974.0,0.0,0,0,True
2025-01-25,1333001.0,0.0,0,0,True
2025-01-26,1712337.0,0.0,0,0,True
2025-01-27,1435819.0,0.0,0,0,True
2025-01-28,1110356.0,0.0,0,0,True
2025-01-29,1382273.0,0.0,0,0,True
2025-01-30,1162968.0,0.0,0,0,True
2025-01-31,229521.0,0.0,0,0,True
2025-02-01,1164532.0,0.0,0,0,True
2025-02-02,1666134.0,0.0,0,0,True
2025-02-03,1149975.0,0.0,0,0,True
2025-02-04,1559865.0,0.0,0,0,True
2025-02-05,1427294.0,0.0,0,0,True
2025-02-06,1372420.0,0.0,0,0,True
2025-02-07,409242.0,0.0,0,0,True
2025-02-08,1699734.0,0.0,0,0,True
